country,code,indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Greenland,GRL,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Literacy rate, adult total (% of people ages 15 and above)",,,64.20999908,,,,,,,,69.09999847,,,,,,,,,,78.26000214,77.04000092,81.29000092,80.19999695,,,80.80999756,,,,83.02999878,83.04405905,82.11000061
Guam,GUM,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.63999939,,,,
High income,HIC,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.70960999,,,,
"Hong Kong SAR, China",HKG,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,80.01000214,,,,,,83.58999634,,,84.76000214,85.12000275,85.36000061,85.45999908,87.19999695,87.91000366,88.98999786,,87.20999908,88.51000214,,,88.27641472,87.08999634,88.25
Heavily indebted poor countries (HIPC),HPC,"Literacy rate, adult total (% of people ages 15 and above)",46.44829941,46.84109116,47.25111008,47.54312897,47.99385071,48.63420105,49.10419846,49.91614914,50.91173172,51.7259903,52.45423126,52.98884964,53.53224182,53.78087997,52.12448883,53.51720047,53.82273102,54.03781128,55.06021118,57.28686905,58.67424011,59.74034119,60.26697922,60.85208893,61.46162033,62.57925034,64.53729248,64.71131134,64.9592514,65.42218018,65.86654663,66.29688263,66.63363647
Croatia,HRV,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,98.15000153,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,58.74000168,,,,,,,,,74.02732069,,,,,68.01000214,,,,,,,
Hungary,HUN,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRD only,IBD,"Literacy rate, adult total (% of people ages 15 and above)",74.6343689,75.24601746,75.86527252,76.5123291,77.12290192,80.08950043,81.78067017,82.26230621,82.78653717,83.10608673,83.51212311,84.0967865,84.49652863,84.5345993,84.818573,85.70091248,86.16577148,86.61975098,87.15949249,87.44757843,87.8042984,88.04839325,88.41017151,88.69116974,88.86773682,89.05950928,89.28639984,89.34284973,89.63845825,89.85890961,90.17098236,90.43588257,90.69486237
IDA & IBRD total,IBT,"Literacy rate, adult total (% of people ages 15 and above)",70.65973663,71.25356293,71.82620239,72.40148163,72.95462799,75.46513367,77.01695251,77.49051666,77.77931976,78.14837646,78.57504272,79.16236115,79.56745148,79.57776642,79.52372742,80.21643829,80.64174652,81.03842926,81.76249695,82.16507721,82.40514374,82.77619171,83.16098785,83.63657379,84.02745819,84.2530365,84.6161499,84.65225983,84.88696289,85.09938049,85.37857056,85.60888672,85.82096863
