country,code,indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Costa Rica,CRI,"Life expectancy at birth, total (years)",76.385,76.315,76.329,76.44,76.428,76.603,76.869,77.058,77.317,77.609,77.939,78.214,78.512,78.877,79.049,79.098,79.18,79.372,79.354,79.624,79.925,80.189,80.231,80.407,79.988,79.994,80.09,80.296,79.725,78.05,79.316,80.799,
Caribbean small states,CSS,"Life expectancy at birth, total (years)",67.3532894,67.47556468,67.52166114,67.55557155,67.62640243,67.73654332,67.98492307,68.20956413,68.39767583,68.66197229,68.8997139,69.0876489,69.36097019,69.63205133,69.93442322,70.29373334,70.54999747,70.79773751,71.0114367,71.26609329,71.40191433,71.56925061,71.77394118,71.86410217,72.05163612,72.17310416,72.2210854,72.12926048,71.93943593,69.92281075,72.83229211,73.171645,
Cuba,CUB,"Life expectancy at birth, total (years)",73.846,73.874,74.092,74.346,74.69,75.064,75.412,75.719,75.922,76.429,76.766,77.405,77.326,77.54,77.406,77.55,77.589,77.584,77.876,78.051,78.162,78.028,77.825,77.745,77.571,77.3,77.426,77.413,77.407,73.201,77.629,78.085,
Curacao,CUW,"Life expectancy at birth, total (years)",72.65,72.703,72.791,72.831,72.945,73.035,73.084,73.174,73.283,73.36,73.472,73.603,73.735,73.873,73.978,74.137,74.314,74.485,75.117,75.576,75.96,76.239,76.384,76.482,76.322,76.423,76.493,76.492,76.501,75.686,76.729,76.8,
Cayman Islands,CYM,"Life expectancy at birth, total (years)",73.088,73.25,73.42,73.597,73.74,73.904,74.08,74.232,74.378,74.529,74.609,74.639,74.596,74.863,75,75.152,75.386,75.671,76.069,76.562,77.121,77.652,77.865,78.119,78.367,78.615,78.835,79.052,79.23,79.3,79.984,80.358,
Cyprus,CYP,"Life expectancy at birth, total (years)",76.291,76.294,76.383,76.583,76.88,77.119,77.164,77.572,77.9,78.185,78.758,78.908,79.007,79.198,79.456,79.798,79.906,80.375,80.632,80.855,81.128,81.317,81.337,81.464,81.534,81.543,81.556,81.454,81.23,80.573,80.434,81.648,
Czechia,CZE,"Life expectancy at birth, total (years)",72.27170732,72.76780488,72.97268293,73.07487805,73.71463415,73.82487805,74.51463415,74.66829268,74.96829268,75.17317073,75.22195122,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,78.57804878,79.02682927,78.97804878,79.02926829,79.22926829,78.22682927,77.22195122,78.92926829,79.87804878,
Germany,DEU,"Life expectancy at birth, total (years)",75.8195122,75.87073171,76.27073171,76.42195122,76.67317073,77.07317073,77.47560976,77.72682927,77.92682927,78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293,81.29268293,81.04146341,80.7902439,80.60804878,80.54146341,
Djibouti,DJI,"Life expectancy at birth, total (years)",54.375,55.734,55.592,56.234,56.33,56.207,56.426,56.564,56.734,57.506,57.824,58.041,58.103,58.548,58.962,59.362,59.815,60.351,60.743,61.337,61.719,62.116,62.427,62.833,63.335,63.71,64.105,64.381,64.2,63.83,65.54,65.987,
Dominica,DMA,"Life expectancy at birth, total (years)",70.473,70.612,70.777,70.832,71.039,71.195,71.352,71.527,71.715,71.862,71.927,71.942,71.987,72.016,72.007,71.901,71.945,71.835,71.68,71.517,71.391,71.228,71.189,69.968,71.189,68.62,71.378,71.305,71.269,69.832,71.081,71.132,
Denmark,DNK,"Life expectancy at birth, total (years)",75.19414634,75.11682927,75.37512195,75.21268293,75.59146341,75.94512195,76.13902439,76.34146341,76.59268293,76.79268293,76.89512195,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951,80.3,80.7,80.70243902,80.85365854,81.10243902,80.95365854,81.45121951,81.60243902,81.40487805,81.30487805,81.85365854,
Dominican Republic,DOM,"Life expectancy at birth, total (years)",68.525,68.86,69.16,69.394,69.595,69.809,69.875,70.178,70.365,70.553,70.719,70.856,70.73,71.043,71.054,71.097,71.331,71.587,72.039,72.496,72.817,73.038,73.145,72.982,72.889,73.37,73.555,73.112,72.636,71.757,74.211,73.72,
Algeria,DZA,"Life expectancy at birth, total (years)",67.725,67.797,67.284,67.691,68.219,68.859,69.327,70.088,70.576,71.025,71.644,71.906,72.536,72.836,73.116,73.346,73.618,73.871,74.144,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",68.00061079,68.42322383,68.72117848,69.03087824,69.42573851,69.7948438,70.12776242,70.42265912,70.73570716,71.07409239,71.39674996,71.80399563,71.85880092,72.39832664,72.65187044,72.99375366,72.92413762,73.46778781,73.76163906,73.98574532,74.25978721,74.48593238,74.71945281,74.95112438,75.15591177,75.23967149,75.57828618,75.76896903,75.69763933,75.27814184,75.93254094,75.88068309,
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",61.39668543,61.73756988,61.97730084,62.40452863,62.7427843,63.09874158,63.4369666,63.7793798,64.21960983,64.55670545,64.96807468,65.27915505,65.51323928,65.97978641,66.39193001,66.76054674,67.02181876,67.49640825,67.82444347,68.26003807,68.60946303,68.96283778,69.32497588,69.63054844,69.94848371,70.27299494,70.54866599,70.84240646,69.88013085,68.17909948,71.43045525,71.79624498,
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",69.06510627,69.46456804,69.76099574,70.02439778,70.43330377,70.79012895,71.09963698,71.36755327,71.70283232,72.041306,72.35710581,72.73469089,72.8126606,73.29843455,73.564044,73.89485135,73.84816299,74.36834717,74.62997901,74.82528306,75.10597269,75.33477299,75.56442704,75.79260102,75.98701667,76.07899236,76.39142294,76.58626193,76.54343761,76.15300938,76.67678344,76.65951833,
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",67.25163255,67.05926339,67.30749192,67.44473674,67.72088479,68.04324576,68.33907526,68.20277978,68.85705319,69.09027771,69.31873062,69.58790191,69.79114865,69.95951476,70.21786594,70.55797869,70.97431752,71.44229216,71.91259115,72.15095022,72.67451659,73.12744278,73.42174885,73.75827079,74.03492739,74.40749451,74.59766981,74.82118659,73.55895735,72.88743297,74.57862234,74.79871528,
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",71.85432559,71.53161654,71.68712434,71.8302634,72.24992223,72.64530069,72.91469194,72.83900827,73.11379497,73.3559009,73.44648925,73.56281329,73.98809651,74.15370506,74.63982358,75.00870445,75.30236525,75.68924794,75.99540408,76.47941212,76.68059514,77.0325566,77.35369956,77.3311423,77.68151958,77.89930497,78.0322195,78.3042684,77.17574845,76.72872669,77.83611309,78.38701832,
Ecuador,ECU,"Life expectancy at birth, total (years)",69.468,70.07,70.876,71.349,71.82,72.007,71.949,71.92,72.09,72.571,73.164,73.632,73.868,73.909,74.01,74.226,74.709,74.901,75.188,75.179,75.486,75.832,76.141,76.222,76.094,76.22,77.248,77.286,72.004,72.746,76.577,77.392,
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",63.585,64.147,64.663,65.214,65.733,66.207,66.635,67.01,67.332,67.612,67.846,68.045,68.211,68.355,68.493,68.627,68.761,68.915,69.078,69.232,69.464,69.632,69.911,70.135,70.437,70.709,70.974,71.213,69.79,68.976,71.01,71.633,
Euro area,EMU,"Life expectancy at birth, total (years)",76.30772121,76.4132091,76.7241794,76.88231334,77.14832368,77.50886811,77.71890673,77.94563627,78.19977933,78.54354349,78.63413491,78.65576216,79.23216237,79.37485078,79.80772129,80.0477787,80.25108761,80.45546117,80.69894262,81.18263418,81.18273158,81.4679843,81.89325266,81.51939912,81.90758749,81.88400856,82.00276026,82.28042116,81.48735717,81.58393304,81.62122375,82.19200762,
Eritrea,ERI,"Life expectancy at birth, total (years)",52.436,53.189,54.027,54.822,55.498,56.155,49.997,44.506,56.285,58.359,58.941,59.455,60.063,60.628,61.457,61.998,62.422,63.203,63.665,64.231,64.697,65.005,65.517,65.909,66.242,66.612,66.979,67.306,66.98,66.94,67.789,68.624,
Spain,ESP,"Life expectancy at birth, total (years)",77.41,77.54658537,77.90146341,77.98073171,78.1204878,78.60414634,78.66585366,78.71707317,78.96585366,79.36829268,79.56829268,79.6195122,79.87073171,80.17073171,80.82195122,80.87317073,81.17560976,81.47560976,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732,83.32926829,83.28292683,83.43170732,83.83170732,82.23170732,83.17804878,83.13414634,83.88292683,
Estonia,EST,"Life expectancy at birth, total (years)",68.86341463,67.9097561,66.5,67.54390244,69.61219512,69.8097561,69.35853659,70.06341463,70.41707317,70.25853659,70.90487805,71.31707317,71.9097561,72.56829268,72.69146341,72.81463415,73.77073171,74.82439024,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244,78.64634146,78.59512195,76.94390244,77.84390244,78.4902439,
Ethiopia,ETH,"Life expectancy at birth, total (years)",47.279,47.676,47.926,48.156,48.697,49.21,49.785,49.486,50.88,51.428,52.085,52.877,53.735,54.364,55.402,56.566,57.733,58.715,59.709,60.595,61.443,62.161,62.927,63.592,64.162,64.766,65.257,65.741,65.969,65.33,66.897,67.315,
European Union,EUU,"Life expectancy at birth, total (years)",75.13204695,75.25869193,75.52931388,75.67416269,75.9268122,76.24454927,76.51332916,76.74796228,77.07824508,77.42563903,77.53407464,77.59237484,78.11782818,78.27514103,78.67212829,78.9060451,79.12962819,79.36243868,79.63543079,80.14395052,80.16577732,80.47343246,80.87616539,80.57089662,80.95308081,80.93030979,81.03175101,81.31945249,80.44147547,80.30719644,80.71298184,81.41145038,
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",53.54955576,53.98163084,54.23263467,54.22567941,54.23715355,54.51782366,54.47072213,54.90340363,55.48842498,55.7212693,56.15085661,56.44692546,56.75574472,57.14727815,57.5943114,58.10957466,58.18717806,58.9379606,59.34316076,59.62763559,60.10084025,60.45483943,60.5536918,60.74499311,60.98618367,61.22968269,61.78250831,62.13795455,62.06636829,61.60868104,62.70227157,63.34994478,
Finland,FIN,"Life expectancy at birth, total (years)",75.45536585,75.70512195,76.39560976,76.4095122,76.69341463,76.87853659,77.09073171,77.29121951,77.46585366,77.96585366,78.1195122,78.36829268,78.71463415,78.81707317,79.21463415,79.26341463,79.56829268,79.7195122,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878,81.4804878,81.42926829,81.63170732,81.73414634,81.98292683,81.93170732,81.88536585,81.18780488,81.68536585,
