Country,indicator,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Germany,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,73.05999756,,,,,,,,,,,,,,,,,,,,,87,,,,,88.23999786,,,89.54000092,90.11000061,90.16000366,90.86000061,91.76000214,91.98999786,93.77999878,93.23223598,93.43558312,93.67582083,93.70097828,93.73689334,93.70223756,94.31237582,94.02999878
Algeria,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,49.63000107,,,,,,,,,,,,,,,69.87000275,,,,72.65000153,,75.13999939,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,63.85813904,64.03003693,65.22003174,66.57422638,67.77606201,68.9156189,69.96906281,70.98197937,72.06056976,73.08267212,74.00067902,75.22212219,79.42063904,80.10041809,80.72722626,81.29183197,81.82151031,82.30895233,82.87233734,83.4338913,83.93139648,89.50981903,89.8761673,90.17822266,90.5535965,90.89263916,91.23964691,91.5803833,91.89633942,92.22103882,92.57436371,93.77954865,94.08309937,94.36463928,94.41409302,94.63474274,94.85968781,94.93260956,95.33869171,95.5418396,95.74217224,95.93148041,95.95484161,96.09738159,96.31459808,96.45059204,96.5920105,96.71948242,96.84574127
Early-demographic dividend,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,48.73011017,48.95655823,49.58460999,50.21855164,50.81206131,51.41450882,52.0102005,52.6382103,53.25233841,54.06402969,54.68976974,55.31546021,56.16725159,56.86785126,57.55672836,58.41524887,59.11901093,59.97821045,60.82065964,61.62096024,62.47871017,63.2406311,63.98643875,66.98854828,67.68630981,68.44277191,69.01352692,69.66580963,70.60973358,71.28481293,71.29206848,71.29985809,72.27776337,73.12509918,73.87973785,75.34998322,75.76291656,76.03475952,76.71434784,77.4954834,78.40955353,79.08168793,79.33454895,79.68443298,79.78765869,80.30062103,80.71309662,81.24279785,81.67678833,82.09693909
East Asia & Pacific,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,65.99085236,66.19523621,67.28578186,68.51582336,69.60743713,70.64483643,71.60536957,72.52831268,73.50691223,74.43430328,75.25657654,76.40583801,80.13620758,80.75875854,81.3328476,81.84445953,82.32662964,82.77024078,83.30497742,83.83833313,84.30226898,89.27278137,89.62503815,89.94730377,90.30899048,90.625,90.98230743,91.34754944,91.68475342,92.02414703,92.37389374,93.51170349,93.81858826,94.08978271,94.07943726,94.30252075,94.54386139,94.61769867,95.09316254,95.29857635,95.49958038,95.68736267,95.72973633,95.87264252,96.08612061,96.22344208,96.36312103,96.48822021,96.6137085
Europe & Central Asia (excluding high income),"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.18125916,92.27796173,92.52263641,92.76976013,93.00787354,93.22036743,93.43064117,93.63868713,93.95874786,94.15628815,94.45702362,94.66500854,95.03076172,95.18003082,95.32504272,95.45786285,95.563797,95.83911133,95.73332214,95.89710236,96.01564026,96.84848785,97.41716003,97.86976624,98.13012695,98.2144928,98.28646851,98.35652161,98.47589111,98.59165192,98.65778351,98.79801941,98.82682037,98.87220001,98.90605927,98.96298218,99.01584625
