Country Name,Year,Country Code,Life expectancy,Literacy rate,Obesity rate,Schooling years,contraceptive_percent_married,elec_access_percent,elec_kwh_per_capita,energy_oil_equiv_kg_per_capita,gross_cap_form_gdp,internet_access_percent,mil_expenditure_percent,mobile_sub_per100,pol_stability_estimate,pol_stability_std,poverty_ratio,revenue_of_GDP.,urban_growth,urban_percentage,Inflation_Rate,Population,Labour_Force_Female,Unemployment_Rate,Government_Spending,GDP_per_capita,gold,silver,bronze,total,edition,edition_id
Lithuania,2012,LTU,73.4024390225,99.81999969,55.5175,12.463435,68.5800604229607,99.725,3557.26231163795,2482.36966135006,18.3688143280185,63.1875,0.87935738326136,161.25175,0.701063022017479,0.236800942569971,19.725,30.311848681329,-1.6843218465174,66.801,3.24812914568625,3069363,52.61825,15.0885,7696832586.1079,13058.3806107033,2,0,3,5,2012 Summer Olympics,54
Lithuania,2016,LTU,74.3560975625,,56.5525,12.99363,,100,3853.89099896205,2413.6945351239,20.8904085628231,71.585275,1.06443944631615,147.594,0.817785054445267,0.208184242248535,21.525,30.3205382366811,-0.766113364166781,67.1725,0.293166262511736,2921734,54.22975,9.8625,7565542151.56732,15321.6910621606,0,1,3,4,2016 Summer Olympics,59
Lithuania,2020,LTU,75.61829268,,57.6825,13.30318,,100,4348.70959898286,2686.5594404049,19.7467408639551,80.493825,1.9348061880185,138.088,0.79672583937645,0.222001612186432,21.1,31.872263529232,-0.337542650195449,67.774,2.48880506120924,2820824,56.743,6.9905,9095891134.12,19021.2061929253,0,1,0,1,2020 Summer Olympics,61
Lithuania,2024,LTU,75.5560975633333,,58.535,,,100,4439.28998946983,2555.10191292396,23.0642290102717,87.7192,2.37293675277714,135.465,0.734996954600016,0.22636079788208,20.9,33.5480840884673,1.00655264701959,68.586,8.55541145500184,2849914,58.284,6.853,12469295103.911,26532.1342916544,0,2,2,4,Paris 2024,2024
Malaysia,2012,MYS,75.42125,93.12000275,45.1,9.85139,,99.525,4062.62817620631,2548.01020874803,22.5397788469071,59.75,1.58197022279658,122.592,0.0434721451019868,0.234764486551285,,20.8583670862318,2.90701618561057,71.21775,1.7610506769248,28901356,48.03,3.3,35385376707.7618,9227.11480257467,0,1,1,2,2012 Summer Olympics,54
Malaysia,2016,MYS,75.367,94.87999725,48.58,10.37465,52.2,99.775,4461.63511274253,2803.94797087958,25.5836225996963,67.643825,1.46066050904087,141.706,0.175460997968912,0.204441029578447,7.6,19.1250211981064,2.60303233159244,73.89,2.36073980469202,30973221,54.03,3.145,41672041205.0873,10213.0413472954,0,4,1,5,2016 Summer Olympics,59
Malaysia,2020,MYS,75.80825,94.9666671733333,51.99,,,100,4782.89863955236,2764.52978056515,22.5377530087577,83.7709,0.988376483771765,130.5295,0.157917033880949,0.208929624408484,7,16.3732739058144,2.36234440885228,76.3125,1.07002500753685,33149191,55.2325,3.6275,42037306158.8104,10410.5170231282,0,1,1,2,2020 Summer Olympics,61
Malaysia,2024,MYS,75.3393333333333,95.76999664,54.51,,42.8,100,4923.20071377691,2830.29802731086,22.5146628927808,97.465825,0.938114706588765,139.541666666667,0.130396352459987,0.211515734593074,6,16.2599999587368,1.85391940232932,78.45675,2.54469171147759,34915465,55.625,4.06625,48233749812.8898,11474.3868523221,0,0,2,2,Paris 2024,2024
Mexico,2012,MEX,73.84875,93.5650005325,67.4825,8.29485666666667,72.5,98.9,2129.49183343058,1620.83037027348,23.8050593531768,33.579075,0.459418806520336,80.75115,-0.685828506946564,0.234764486551285,,17.5641092366445,1.79862618062241,77.96275,4.24324278146266,114421332,43.02175,5.1815,128735010323.652,9890.24951053043,1,3,4,8,2012 Summer Olympics,54
Mexico,2016,MEX,74.375,94.4624996175,69.865,8.502055,69.60039478,99.2,2209.47324716178,1570.04844813399,23.2633824151897,51.204275,0.478438251032212,89.538825,-0.750910207629204,0.204441029578447,43.2,18.3255563175825,1.50744100938271,79.1385,3.3418388188439,120362872,43.49475,4.476,147246336072.332,10431.8351980105,0,3,2,5,2016 Summer Olympics,59
Mexico,2020,MEX,73.38525,95.2472346975,71.8275,8.850215,73.10006,99.625,2378.79669864243,1451.99962886554,22.4387614403023,62.703425,0.529066120959636,95.76755,-0.778397932648659,0.205422695726156,42.9,18.7362121198189,1.2730482217276,80.2995,4.49340074268148,125133951,43.18375,3.65275,139138364895.923,9736.22450818796,0,0,4,4,2020 Summer Olympics,61
Mexico,2024,MEX,72.9306666666667,95.784480095,73.16,,71.8482508570646,99.9,2424.91339772209,1501.07689950173,23.1460646367067,78.4806333333333,0.668153124028276,105.4566,-0.669215003649394,0.210609724124273,32.95,18.9044659479714,1.136110816353,81.44,5.95892535654907,129215507,46.03175,3.18775,179900576894.025,12425.0667376683,0,3,2,5,Paris 2024,2024
Mongolia,2012,MNG,68.771036585,98.26000214,48.5425,10.12979,54.9059143,78.65,1478.60990064149,1461.52491257943,47.6268110545292,12.275,0.788567831496241,101.3054,0.57117585092783,0.238959033042193,33.3,27.5174084682796,2.7092972737868,67.535,10.1018155773035,2763939,54.7055,5.27075,1124435736.17709,3098.36960388296,0,2,3,5,2012 Summer Olympics,54
